1. Time Dummy Moving:;154,651
1. Time Dummy in LOS:;157,2777
1. Time Player Braking:;157,9052
2. Time Dummy Moving:;198,4244
2. Time Dummy in LOS:;200,8188
2. Time Player Braking:;201,754
3. Time Dummy Moving:;221,8849
3. Time Dummy in LOS:;224,1962
3. Time Player Braking:;225,0474
4. Time Dummy Moving:;258,7265
4. Time Dummy in LOS:;261,4646
4. Time Player Braking:;261,985
5. Time Dummy Moving:;287,6224
5. Time Dummy in LOS:;290,1922
5. Time Player Braking:;290,81
6. Time Dummy Moving:;349,5726
6. Time Dummy in LOS:;352,7378
6. Time Player Braking:;353,3087
