1. Time Dummy Moving:;296,16
1. Time Dummy in LOS:;298,8324
1. Time Player Braking:;301,0085
2. Time Dummy Moving:;339,8903
2. Time Dummy in LOS:;342,2989
2. Time Player Braking:;343,6356
3. Time Dummy Moving:;364,6474
3. Time Dummy in LOS:;366,9316
3. Time Player Braking:;368,6871
4. Time Dummy Moving:;407,8077
4. Time Dummy in LOS:;410,5252
4. Time Player Braking:;411,455
5. Time Dummy Moving:;439,7923
5. Time Dummy in LOS:;442,5075
5. Time Player Braking:;443,4412
6. Time Dummy Moving:;512,127
6. Time Dummy in LOS:;514,9907
6. Time Player Braking:;516,0065
