1. Time Dummy Moving:;53,26183
1. Time Dummy in LOS:;55,91299
1. Time Player Braking:;56,85485
2. Time Dummy Moving:;67,72
2. Time Dummy in LOS:;70,41743
2. Time Player Braking:;71,58762
3. Time Dummy Moving:;137,82
3. Time Dummy in LOS:;140,658
3. Time Player Braking:;141,7995
4. Time Dummy Moving:;182,36
4. Time Dummy in LOS:;185,1169
4. Time Player Braking:;186,0642
5. Time Dummy Moving:;262,1131
5. Time Dummy in LOS:;264,5496
5. Time Player Braking:;265,694
6. Time Dummy Moving:;285,6478
6. Time Dummy in LOS:;287,9691
6. Time Player Braking:;289,7249
