1. Time Dummy Moving:;11,48758
1. Time Dummy in LOS:;14,24548
1. Time Player Braking:;16,1074
2. Time Dummy Moving:;52,60409
2. Time Dummy in LOS:;55,22477
2. Time Player Braking:;56,39294
3. Time Dummy Moving:;68,28523
3. Time Dummy in LOS:;71,01256
3. Time Player Braking:;72,18441
4. Time Dummy Moving:;251,8074
4. Time Dummy in LOS:;254,243
4. Time Player Braking:;255,5251
5. Time Dummy Moving:;272,372
5. Time Dummy in LOS:;275,1978
5. Time Player Braking:;276,4754
6. Time Dummy Moving:;286,2015
6. Time Dummy in LOS:;288,4985
6. Time Player Braking:;289,9054
