1. Time Dummy Moving:;260,26
1. Time Dummy in LOS:;263,0453
1. Time Player Braking:;264,3489
2. Time Dummy Moving:;346,0264
2. Time Dummy in LOS:;348,4224
2. Time Player Braking:;350,9293
3. Time Dummy Moving:;365,4084
3. Time Dummy in LOS:;368,2353
3. Time Player Braking:;368,6953
4. Time Dummy Moving:;445,8006
4. Time Dummy in LOS:;448,5161
4. Time Player Braking:;449,5899
5. Time Dummy Moving:;461,9819
5. Time Dummy in LOS:;464,6799
5. Time Player Braking:;465,5026
6. Time Dummy Moving:;528,951
6. Time Dummy in LOS:;531,2637
6. Time Player Braking:;533,4226
