1. Time Dummy Moving:;10,8741
1. Time Dummy in LOS:;13,67676
1. Time Player Braking:;15,68695
2. Time Dummy Moving:;47,65463
2. Time Dummy in LOS:;50,30885
2. Time Player Braking:;50,85346
3. Time Dummy Moving:;101,7214
3. Time Dummy in LOS:;104,1016
3. Time Player Braking:;104,8391
4. Time Dummy Moving:;187,2648
4. Time Dummy in LOS:;189,8848
4. Time Player Braking:;191,3015
5. Time Dummy Moving:;247,0845
5. Time Dummy in LOS:;249,9323
5. Time Player Braking:;250,6422
6. Time Dummy Moving:;259,5007
6. Time Dummy in LOS:;261,8516
6. Time Player Braking:;263,3707
