1. Time Dummy Moving:;204,2
1. Time Dummy in LOS:;206,9954
1. Time Player Braking:;209,0773
2. Time Dummy Moving:;239,22
2. Time Dummy in LOS:;241,8678
2. Time Player Braking:;242,9192
3. Time Dummy Moving:;291,12
3. Time Dummy in LOS:;293,5263
3. Time Player Braking:;294,4026
4. Time Dummy Moving:;380,1855
4. Time Dummy in LOS:;382,8836
4. Time Player Braking:;383,7913
5. Time Dummy Moving:;444,5715
5. Time Dummy in LOS:;447,4192
5. Time Player Braking:;448,4776
6. Time Dummy Moving:;450,1824
6. Time Dummy in LOS:;452,5851
6. Time Player Braking:;454,9815
