1. Time Dummy Moving:;38,87335
1. Time Dummy in LOS:;41,55265
1. Time Player Braking:;43,87746
2. Time Dummy Moving:;98,68936
2. Time Dummy in LOS:;101,4923
2. Time Player Braking:;102,2964
3. Time Dummy Moving:;111,791
3. Time Dummy in LOS:;114,0892
3. Time Player Braking:;115,4812
4. Time Dummy Moving:;148,9504
4. Time Dummy in LOS:;151,7253
4. Time Player Braking:;152,5582
5. Time Dummy Moving:;176,9094
5. Time Dummy in LOS:;179,5011
5. Time Player Braking:;180,1408
6. Time Dummy Moving:;242,1684
6. Time Dummy in LOS:;244,5768
6. Time Player Braking:;245,5998
