1. Time Dummy Moving:;139,9503
1. Time Dummy in LOS:;142,6946
1. Time Player Braking:;144,185
2. Time Dummy Moving:;164,34
2. Time Dummy in LOS:;167,0606
2. Time Player Braking:;167,7522
3. Time Dummy Moving:;185,32
3. Time Dummy in LOS:;187,947
3. Time Player Braking:;188,7522
4. Time Dummy Moving:;359,703
4. Time Dummy in LOS:;362,1109
4. Time Player Braking:;362,8912
5. Time Dummy Moving:;378,6814
5. Time Dummy in LOS:;381,8967
5. Time Player Braking:;382,0361
6. Time Dummy Moving:;392,8278
6. Time Dummy in LOS:;395,1467
6. Time Player Braking:;396,2666
