1. Time Dummy Moving:;38,2
1. Time Dummy in LOS:;40,84799
1. Time Player Braking:;43,47867
2. Time Dummy Moving:;53,5
2. Time Dummy in LOS:;56,12333
2. Time Player Braking:;57,0268
3. Time Dummy Moving:;105,02
3. Time Dummy in LOS:;107,3889
3. Time Player Braking:;108,0415
4. Time Dummy Moving:;156,44
4. Time Dummy in LOS:;159,167
4. Time Player Braking:;159,861
5. Time Dummy Moving:;246,42
5. Time Dummy in LOS:;249,256
5. Time Player Braking:;250,1167
6. Time Dummy Moving:;252,34
6. Time Dummy in LOS:;254,6703
6. Time Player Braking:;256,3976
