1. Time Dummy Moving:;74,90573
1. Time Dummy in LOS:;77,48425
1. Time Player Braking:;78,52547
2. Time Dummy Moving:;88,58
2. Time Dummy in LOS:;91,2964
2. Time Player Braking:;92,00622
3. Time Dummy Moving:;148,78
3. Time Dummy in LOS:;151,0959
3. Time Player Braking:;152,2397
4. Time Dummy Moving:;183,9
4. Time Dummy in LOS:;186,6749
4. Time Player Braking:;187,2225
5. Time Dummy Moving:;269,8069
5. Time Dummy in LOS:;272,2799
5. Time Player Braking:;273,3412
6. Time Dummy Moving:;287,2665
6. Time Dummy in LOS:;290,0782
6. Time Player Braking:;290,648
