1. Time Dummy Moving:;36,13168
1. Time Dummy in LOS:;38,77459
1. Time Player Braking:;39,36278
2. Time Dummy Moving:;83,93066
2. Time Dummy in LOS:;86,35448
2. Time Player Braking:;86,92193
3. Time Dummy Moving:;106,7649
3. Time Dummy in LOS:;109,0782
3. Time Player Braking:;110,6559
4. Time Dummy Moving:;142,8708
4. Time Dummy in LOS:;145,6951
4. Time Player Braking:;146,0623
5. Time Dummy Moving:;170,7101
5. Time Dummy in LOS:;173,3586
5. Time Player Braking:;173,8206
6. Time Dummy Moving:;231,3628
6. Time Dummy in LOS:;234,1744
6. Time Player Braking:;234,6774
