1. Time Dummy Moving:;10,94
1. Time Dummy in LOS:;13,63226
1. Time Player Braking:;14,51866
2. Time Dummy Moving:;44,94
2. Time Dummy in LOS:;47,61954
2. Time Player Braking:;49,06853
3. Time Dummy Moving:;108,86
3. Time Dummy in LOS:;111,1944
3. Time Player Braking:;112,4905
4. Time Dummy Moving:;168,34
4. Time Dummy in LOS:;170,9385
4. Time Player Braking:;171,7765
5. Time Dummy Moving:;217,42
5. Time Dummy in LOS:;219,7516
5. Time Player Braking:;220,7425
6. Time Dummy Moving:;231,4933
6. Time Dummy in LOS:;234,2964
6. Time Player Braking:;235,4161
