1. Time Dummy Moving:;153
1. Time Dummy in LOS:;155,5899
1. Time Player Braking:;156,3422
2. Time Dummy Moving:;206,78
2. Time Dummy in LOS:;209,1651
2. Time Player Braking:;210,2787
3. Time Dummy Moving:;224,92
3. Time Dummy in LOS:;227,2486
3. Time Player Braking:;229,8579
4. Time Dummy Moving:;260,765
4. Time Dummy in LOS:;263,4482
4. Time Player Braking:;264,3713
5. Time Dummy Moving:;283,4048
5. Time Dummy in LOS:;286,0374
5. Time Player Braking:;286,8435
6. Time Dummy Moving:;344,5298
6. Time Dummy in LOS:;347,3124
6. Time Player Braking:;348,4269
