1. Time Dummy Moving:;17,32582
1. Time Dummy in LOS:;20,09561
1. Time Player Braking:;20,98657
2. Time Dummy Moving:;58,2468
2. Time Dummy in LOS:;60,91969
2. Time Player Braking:;61,53244
3. Time Dummy Moving:;124,3853
3. Time Dummy in LOS:;126,6835
3. Time Player Braking:;127,6175
4. Time Dummy Moving:;189,0003
4. Time Dummy in LOS:;191,6189
4. Time Player Braking:;192,1893
5. Time Dummy Moving:;240,3918
5. Time Dummy in LOS:;242,8153
5. Time Player Braking:;243,7613
6. Time Dummy Moving:;258,5904
6. Time Dummy in LOS:;261,3496
6. Time Player Braking:;262,0729
