1. Time Dummy Moving:;53,92
1. Time Dummy in LOS:;56,5577
1. Time Player Braking:;57,03154
2. Time Dummy Moving:;119,26
2. Time Dummy in LOS:;122,0799
2. Time Player Braking:;122,7653
3. Time Dummy Moving:;132,761
3. Time Dummy in LOS:;135,0978
3. Time Player Braking:;136,2985
4. Time Dummy Moving:;169
4. Time Dummy in LOS:;171,757
4. Time Player Braking:;172,3815
5. Time Dummy Moving:;206,26
5. Time Dummy in LOS:;208,8349
5. Time Player Braking:;209,3788
6. Time Dummy Moving:;251,3
6. Time Dummy in LOS:;253,6947
6. Time Player Braking:;254,3647
