1. Time Dummy Moving:;261,8633
1. Time Dummy in LOS:;264,5889
1. Time Player Braking:;266,1734
2. Time Dummy Moving:;282,1206
2. Time Dummy in LOS:;284,7806
2. Time Player Braking:;285,7973
3. Time Dummy Moving:;358,868
3. Time Dummy in LOS:;361,6652
3. Time Player Braking:;362,9595
4. Time Dummy Moving:;411,14
4. Time Dummy in LOS:;413,9678
4. Time Player Braking:;414,9747
5. Time Dummy Moving:;502,1779
5. Time Dummy in LOS:;504,5965
5. Time Player Braking:;505,7588
6. Time Dummy Moving:;539,6221
6. Time Dummy in LOS:;541,9314
6. Time Player Braking:;543,6176
