1. Time Dummy Moving:;102,04
1. Time Dummy in LOS:;104,4057
1. Time Player Braking:;105,5047
2. Time Dummy Moving:;118,92
2. Time Dummy in LOS:;121,77
2. Time Player Braking:;122,4334
3. Time Dummy Moving:;131,2217
3. Time Dummy in LOS:;133,5468
3. Time Player Braking:;134,4387
4. Time Dummy Moving:;168,0198
4. Time Dummy in LOS:;170,8458
4. Time Player Braking:;171,3648
5. Time Dummy Moving:;196,44
5. Time Dummy in LOS:;199,098
5. Time Player Braking:;199,6632
6. Time Dummy Moving:;209,5269
6. Time Dummy in LOS:;212,2137
6. Time Player Braking:;212,8267
