1. Time Dummy Moving:;244,3823
1. Time Dummy in LOS:;247,1805
1. Time Player Braking:;249,95
2. Time Dummy Moving:;277,5877
2. Time Dummy in LOS:;280,2767
2. Time Player Braking:;281,0716
3. Time Dummy Moving:;291,4019
3. Time Dummy in LOS:;294,1175
3. Time Player Braking:;294,8831
4. Time Dummy Moving:;448,3436
4. Time Dummy in LOS:;450,7956
4. Time Player Braking:;451,6612
5. Time Dummy Moving:;466,6252
5. Time Dummy in LOS:;469,4395
5. Time Player Braking:;470,4396
6. Time Dummy Moving:;479,7836
6. Time Dummy in LOS:;482,0944
6. Time Player Braking:;483,9187
