1. Time Dummy Moving:;297,84
1. Time Dummy Moving:;297,8488
1. Time Dummy in LOS:;300,4939
1. Time Player Braking:;301,3436
2. Time Dummy Moving:;344,26
2. Time Dummy Moving:;344,2683
2. Time Dummy in LOS:;346,6794
2. Time Player Braking:;350,071
3. Time Dummy Moving:;367,22
3. Time Dummy Moving:;367,2292
3. Time Dummy in LOS:;369,5552
3. Time Player Braking:;371,0744
4. Time Dummy Moving:;406,64
4. Time Dummy Moving:;406,6467
4. Time Dummy in LOS:;409,4342
4. Time Player Braking:;410,489
5. Time Dummy Moving:;436,34
5. Time Dummy Moving:;436,3471
5. Time Dummy in LOS:;439,0036
5. Time Player Braking:;439,4379
6. Time Dummy Moving:;499,78
6. Time Dummy Moving:;499,7929
6. Time Dummy in LOS:;502,6059
